Date,Upstream Mean Discharge (cfs),Downstream Mean Discharge (cfs),Downstream Width (ft),Upstream Width (ft),Upstream Depth (ft),Downstream Depth (ft)
2016-01-12,135.0,144.0,,65.0,1.625,
2016-01-14,134.0,146.0,57.0,,,7.1676
2016-02-26,137.0,168.0,58.0,65.0,1.645,7.3568
2016-04-06,130.0,142.0,58.5,,,7.1012
2016-04-07,130.0,142.0,,65.0,1.5936,
2016-05-12,258.0,262.0,58.5,61.0,2.0998,8.21
2016-06-24,846.0,996.0,62.1,64.0,4.6251999999999995,12.5718
2016-06-27,148.0,173.0,59.0,64.5,1.6864,7.4846
2016-07-27,317.0,337.0,,62.0,2.314,
2016-07-28,313.0,331.0,59.0,,,8.7412
2016-09-06,572.0,619.0,61.4,61.0,3.1372,10.2848
2016-10-18,130.0,165.0,59.5,64.0,1.5786,7.4032
2016-11-29,139.0,161.0,,63.0,1.625,
2016-11-30,139.0,158.0,56.3,,,7.351800000000001
2016-12-21,144.0,163.0,,54.0,1.64,
2016-12-28,144.0,160.0,47.0,,,7.3418
2017-01-30,146.0,167.0,,58.0,1.645,
2017-02-08,157.0,287.0,56.0,,,8.2236
2017-03-15,152.0,210.0,53.0,55.0,1.6864,7.6538
2017-04-24,183.0,241.0,57.2,,,7.984399999999999
2017-05-03,146.0,212.0,,53.0,1.65,
2017-05-15,1040.0,1210.0,62.9,,,
2017-05-18,1040.0,1150.0,,65.0,4.465199999999999,
2017-06-08,1540.0,1970.0,60.1,,,14.325199999999999
2017-06-09,1530.0,1930.0,,69.0,5.8396,
2017-07-20,356.0,386.0,56.7,61.0,2.4732,8.951799999999999
2017-08-21,156.0,203.0,53.8,,,7.5474
2017-08-29,153.0,201.0,,47.0,1.7378,
2017-09-13,178.0,229.0,58.5,,,7.7166
2017-10-11,151.0,167.0,57.2,63.4,1.5936,7.0762
2017-11-13,155.0,160.0,58.7,63.0,1.625,7.0148
2017-12-28,151.0,149.0,,84.0,1.5936,
2017-12-29,151.0,149.0,47.0,,,6.912000000000001
2018-01-30,136.0,154.0,,55.0,1.5886,
2018-01-31,136.0,157.0,60.0,,,6.9534
2018-03-12,139.0,156.0,52.9,,,7.0034
2018-03-14,140.0,159.0,,62.0,1.615,
2018-04-24,156.0,177.0,59.9,,,7.274
2018-04-25,154.0,182.0,,62.0,1.6913999999999998,
2018-06-04,496.0,544.0,62.1,,,9.6558
2018-06-11,505.0,525.0,,61.0,2.9379999999999997,
2018-07-16,352.0,384.0,61.0,,,8.7976
2018-07-17,367.0,396.0,,63.0,2.4932,
2018-08-28,402.0,422.0,59.8,60.0,2.6109999999999998,8.9204
2018-10-05,338.0,384.0,58.0,,,8.5998
2018-10-10,344.0,384.0,,60.0,2.3654,
2018-11-15,136.0,156.0,61.3,56.5,1.5936,6.958399999999999
2019-01-31,133.0,148.0,52.3,,,6.9234
2019-02-11,133.0,158.0,,59.0,1.5836000000000001,
2019-03-12,137.0,186.0,51.5,56.0,1.5936,7.274
2019-04-23,180.0,223.0,58.0,57.0,1.777,7.2154
2019-05-31,816.0,916.0,62.0,,,11.325
2019-06-03,850.0,1010.0,,64.0,3.9754,
2019-06-24,1490.0,1760.0,61.7,,,14.024799999999999
2019-06-25,1390.0,1520.0,63.2,,,13.5134
2019-06-27,1550.0,1750.0,,66.0,5.7018,
2019-07-11,487.0,508.0,61.4,,,9.4252
2019-08-09,204.0,254.0,,49.0,1.9869999999999999,
2019-08-22,183.0,234.0,67.5,,,7.632399999999999
2019-09-18,195.0,245.0,,57.0,1.8905999999999998,
2019-10-09,146.0,170.0,53.0,,,7.1175999999999995
2019-10-31,132.0,149.0,,56.0,1.5786,
2019-11-13,131.0,153.0,54.9,,,6.9434000000000005
2019-12-13,122.0,174.0,,59.0,1.625,
2019-12-20,121.0,149.0,53.2,,,6.922000000000001
2020-01-29,118.0,158.0,56.0,58.5,1.625,7.014799999999999
2020-03-09,122.0,172.0,,59.0,1.65,
2020-03-12,121.0,158.0,54.0,,,7.014799999999999
2020-04-24,299.0,319.0,,58.5,2.224,
2020-05-22,1520.0,1660.0,61.4,,,14.114
2020-05-27,887.0,911.0,,75.7,4.0767999999999995,
2020-07-02,351.0,409.0,59.5,,,8.864
2020-07-08,347.0,398.0,,61.7,2.4268,
2020-08-14,239.0,272.0,59.9,,,7.8794
2020-08-18,233.0,271.0,,61.5,2.0634,
2020-10-01,274.0,302.0,57.8,,,8.1486
2020-10-08,312.0,339.0,,64.5,2.3604,
2020-11-05,132.0,159.0,,60.0,1.625,
2020-11-18,132.0,162.0,60.7,,,6.9684
2020-12-15,121.0,161.0,,60.0,1.625,
2021-01-06,123.0,165.0,60.0,,,6.9084
2021-01-21,122.0,164.0,,61.0,1.625,
2021-02-18,122.0,166.0,56.5,,,6.8870000000000005
2021-03-04,128.0,171.0,,59.0,1.615,
2021-04-15,135.0,156.0,,62.0,1.625,
2021-06-03,139.0,195.0,,58.0,1.7113999999999998,
2021-07-09,175.0,209.0,,58.0,1.8192,
2021-09-16,259.0,302.0,,61.0,2.2026000000000003,
2021-09-21,180.0,222.0,63.3,,,7.4596
2021-10-28,129.0,164.0,,58.0,1.625,
2021-12-13,135.0,160.0,,58.0,1.65,
2022-01-04,138.0,164.0,61.0,,,6.9684
2022-01-28,136.0,153.0,,57.0,1.6549999999999998,
2022-03-14,132.0,163.0,,57.0,1.64,
2022-04-25,132.0,144.0,,56.0,1.625,
2022-04-26,134.0,143.0,59.0,,,6.7592
2022-06-09,155.0,192.0,,59.0,1.7478,
2022-07-29,143.0,181.0,,56.0,1.7014,
2022-09-06,144.0,169.0,,63.5,1.7078,
2022-09-19,192.0,234.0,56.0,,,7.7402
2022-10-24,136.0,166.0,,58.0,1.6549999999999998,
