Activity_StartDate,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Result_Measure,Result_MeasureUnit
2018/01/31,1,ft,3.49,ft
2016/06/24,1,ft,6.14,ft
2019/06/24,1,ft,6.79,ft
2016/09/06,0.5,ft,5.15,ft
2020/10/01,1,ft,4.07,ft
2018/06/04,1,ft,4.82,ft
2017/12/29,1,ft,3.44,ft
2017/12/29,1,ft,3.45,ft
2018/11/15,0.5,ft,3.48,ft
2023/09/05,1.2,ft,3.9,ft
2016/06/24,1,ft,6.13,ft
2017/04/24,0.5,ft,3.97,ft
2021/01/06,1,ft,3.48,ft
2016/07/28,1,ft,4.36,ft
2016/10/18,0.5,ft,3.7,ft
2020/01/29,0.5,ft,3.5,ft
2019/04/23,0.75,ft,3.64,ft
2019/10/09,0.8,ft,3.58,ft
2016/07/28,1,ft,4.36,ft
2016/01/14,0.5,ft,3.58,ft
2018/07/16,1.5,ft,4.4,ft
2023/03/03,0.5,ft,3.49,ft
2019/06/25,2,ft,6.76,ft
2021/09/21,1,ft,3.74,ft
2017/07/20,0.5,ft,4.5,ft
2016/02/26,0.5,ft,3.68,ft
2016/04/06,0.5,ft,3.54,ft
2019/06/25,2,ft,6.75,ft
2023/12/12,1,ft,3.45,ft
2019/04/23,0.75,ft,3.63,ft
2019/03/12,0.5,ft,3.61,ft
2017/09/13,1,ft,3.9,ft
2020/11/18,1,ft,3.48,ft
2020/08/14,1,ft,3.97,ft
2019/03/12,0.5,ft,3.6,ft
2017/07/20,0.5,ft,4.49,ft
2020/03/12,0.5,ft,3.5,ft
2019/10/09,0.8,ft,3.56,ft
2019/11/13,0.5,ft,3.47,ft
2017/08/21,2,ft,3.79,ft
2019/12/20,0.5,ft,3.46,ft
2017/10/11,0.6,ft,3.55,ft
2018/07/16,1.5,ft,4.38,ft
2024/02/06,2,ft,3.54,ft
2017/09/13,1,ft,3.89,ft
2019/06/24,1,ft,6.8,ft
2018/04/24,0.6,ft,3.62,ft
2019/11/13,0.5,ft,3.48,ft
2016/09/06,0.5,ft,5.14,ft
2024/02/06,2,ft,3.55,ft
2017/05/15,0.5,ft,6.27,ft
2019/01/31,1.5,ft,3.48,ft
2018/11/15,0.5,ft,3.48,ft
2018/10/05,1.5,ft,4.33,ft
2020/07/02,1,ft,4.43,ft
2017/02/08,0.5,ft,4.06,ft
2022/09/19,1.2,ft,3.87,ft
2023/12/12,1,ft,3.46,ft
2019/05/31,1.5,ft,5.74,ft
2022/01/04,1,ft,3.48,ft
2023/07/20,1,ft,4.7,ft
2016/06/27,0.5,ft,3.75,ft
2016/12/28,0.7,ft,3.67,ft
2023/04/20,,,5.1,ft
2020/10/01,1,ft,4.07,ft
2019/08/22,1,ft,3.82,ft
2017/08/21,2,ft,3.81,ft
2016/12/28,0.7,ft,3.68,ft
2016/02/26,0.5,ft,3.68,ft
2019/07/11,2,ft,4.7,ft
2021/09/21,1,ft,3.74,ft
2016/01/14,0.5,ft,3.58,ft
2018/06/04,1,ft,4.81,ft
2022/09/19,1.2,ft,3.87,ft
2020/07/02,1,ft,4.42,ft
2020/05/22,1,ft,6.89,ft
2021/02/18,0.6,ft,3.45,ft
2016/06/27,0.5,ft,3.74,ft
2017/05/15,0.5,ft,6.26,ft
2018/08/28,1,ft,4.46,ft
2018/01/31,1,ft,3.48,ft
2017/03/15,1,ft,3.83,ft
2016/11/30,0.8,ft,3.67,ft
2023/07/20,1,ft,4.69,ft
2017/06/08,1,ft,7.15,ft
2022/04/26,1,ft,3.38,ft
2017/06/08,1,ft,7.14,ft
2016/05/12,0.5,ft,4.1,ft
2017/02/08,0.5,ft,4.07,ft
2018/08/28,1,ft,4.46,ft
2017/03/15,1,ft,3.84,ft
2018/03/12,1.5,ft,3.49,ft
2020/01/29,0.5,ft,3.51,ft
2020/08/14,1,ft,3.97,ft
2023/09/05,1.2,ft,3.9,ft
2022/01/04,1,ft,3.48,ft
2016/11/30,0.8,ft,3.68,ft
2016/05/12,0.5,ft,4.1,ft
2019/12/20,0.5,ft,3.45,ft
2019/05/31,1.5,ft,5.75,ft
2020/05/22,1,ft,6.9,ft
2019/01/31,1.5,ft,3.47,ft
2021/02/18,0.6,ft,3.45,ft
2023/06/01,0.5,ft,6.92,ft
2017/04/24,0.5,ft,3.98,ft
2020/03/12,0.5,ft,3.51,ft
2017/10/11,0.6,ft,3.54,ft
2024/04/16,,,4.18,ft
2024/05/14,,,5.07,ft
2024/08/07,,,3.58,ft
2024/10/08,,,3.68,ft
2024/12/13,,,3.45,ft
2018/04/24,0.6,ft,3.61,ft
2024/06/03,,,7.27,ft
2019/08/22,1,ft,3.81,ft
2020/11/18,1,ft,3.48,ft
2016/10/18,0.5,ft,3.71,ft
2019/07/11,2,ft,4.69,ft
2023/04/20,,,5.09,ft
2023/06/01,0.5,ft,6.92,ft
2017/11/13,1,ft,3.52,ft
2018/03/12,1.5,ft,3.48,ft
2017/11/13,1,ft,3.51,ft
2021/01/06,1,ft,3.48,ft
2016/04/06,0.5,ft,3.54,ft
2024/07/16,,,3.54,ft
2018/10/05,1.5,ft,4.33,ft
2023/03/03,0.5,ft,3.48,ft
2022/04/26,1,ft,3.38,ft
2025/02/12,,,3.58,ft
2025/04/08,,,4.03,ft
2025/05/23,,,5.36,ft
2025/07/22,0.8,ft,3.47,ft
2025/08/21,1.5,ft,4.54,ft
2025/09/26,1.5,ft,4.8,ft
2025/12/22,1,ft,3.43,ft
2025/07/22,0.8,ft,3.48,ft
2025/09/26,1.5,ft,4.79,ft
2025/12/22,1,ft,3.41,ft
2025/08/21,1.5,ft,4.53,ft
2025/05/23,,,5.35,ft
2025/04/08,,,4.04,ft
2024/08/07,,,3.58,ft
2024/12/13,,,3.45,ft
2025/02/12,,,3.58,ft
2024/07/16,,,3.54,ft
2024/10/08,,,3.68,ft
2024/04/16,,,4.17,ft
2024/06/03,,,7.28,ft
2024/05/14,,,5.05,ft
