Activity_StartDate,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Result_Measure,Result_MeasureUnit
2017/01/30,0.5,ft,0.83,ft
2020/12/15,0.4,ft,0.81,ft
2016/07/27,0.5,ft,1.16,ft
2018/03/14,0.5,ft,0.82,ft
2017/07/20,0.5,ft,1.24,ft
2021/04/15,1,ft,0.82,ft
2023/07/18,1,ft,1.43,ft
2020/11/05,0.5,ft,0.81,ft
2024/02/08,1,ft,0.82,ft
2020/07/08,1,ft,1.22,ft
2022/01/28,1,ft,0.82,ft
2019/09/18,0.8,ft,0.95,ft
2021/09/16,0.8,ft,1.11,ft
2018/10/10,2,ft,1.19,ft
2016/11/29,0.5,ft,0.81,ft
2017/06/09,1,ft,2.92,ft
2021/06/03,1,ft,0.85,ft
2023/06/01,0.5,ft,2.69,ft
2021/07/09,1.8,ft,0.92,ft
2020/04/24,1,ft,1.15,ft
2023/10/30,,,0.82,ft
2021/10/28,1,ft,0.81,ft
2016/06/27,0.5,ft,0.86,ft
2022/12/19,,,0.82,ft
2022/10/24,0.8,ft,0.82,ft
2019/06/27,2,ft,2.85,ft
2018/04/25,1.3,ft,0.85,ft
2018/07/17,2,ft,1.25,ft
2019/03/12,1.5,ft,0.8,ft
2023/03/06,0.5,ft,0.85,ft
2018/08/28,1,ft,1.31,ft
2023/07/18,1,ft,1.44,ft
2020/03/09,0.5,ft,0.82,ft
2022/03/14,1,ft,0.82,ft
2016/06/24,0.5,ft,2.24,ft
2016/11/29,0.5,ft,0.82,ft
2022/10/24,0.8,ft,0.83,ft
2016/06/27,0.5,ft,0.85,ft
2020/08/18,1,ft,1.03,ft
2020/01/29,0.5,ft,0.81,ft
2018/08/28,1,ft,1.31,ft
2021/06/03,1,ft,0.85,ft
2022/03/14,1,ft,0.82,ft
2019/08/09,1.5,ft,0.98,ft
2019/04/23,0.8,ft,0.97,ft
2019/10/31,0.8,ft,0.79,ft
2023/10/30,,,0.82,ft
2021/03/04,0.5,ft,0.81,ft
2016/01/12,0.5,ft,0.82,ft
2016/09/06,0.5,ft,1.56,ft
2018/07/17,2,ft,1.26,ft
2022/04/25,1.8,ft,0.81,ft
2017/01/30,0.5,ft,0.82,ft
2023/12/11,2,ft,0.82,ft
2020/08/18,1,ft,1.02,ft
2016/05/12,0.5,ft,1.05,ft
2022/01/28,1,ft,0.83,ft
2023/08/31,1,ft,0.92,ft
2016/07/27,0.5,ft,1.15,ft
2019/09/18,0.8,ft,0.95,ft
2017/08/29,1,ft,0.89,ft
2019/04/23,0.8,ft,0.98,ft
2018/04/25,1.3,ft,0.85,ft
2023/06/01,0.5,ft,2.7,ft
2021/01/21,0.7,ft,0.82,ft
2018/03/14,0.5,ft,0.81,ft
2016/12/21,0.4,ft,0.82,ft
2016/09/06,0.5,ft,1.58,ft
2023/04/20,,,1.67,ft
2021/03/04,0.5,ft,0.82,ft
2016/04/07,0.5,ft,0.79,ft
2017/03/15,1,ft,0.84,ft
2020/05/27,1,ft,2.03,ft
2016/02/26,0.5,ft,0.83,ft
2019/03/12,1.5,ft,0.79,ft
2021/10/28,1,ft,0.82,ft
2023/04/20,,,1.67,ft
2017/03/15,1,ft,0.85,ft
2018/11/15,1,ft,0.79,ft
2018/01/30,1,ft,0.79,ft
2018/06/11,1,ft,1.48,ft
2021/01/21,0.7,ft,0.81,ft
2016/05/12,0.5,ft,1.05,ft
2022/04/25,1.8,ft,0.82,ft
2018/11/15,1,ft,0.8,ft
2019/02/11,1,ft,0.8,ft
2021/12/13,1,ft,0.82,ft
2019/10/31,0.8,ft,0.79,ft
2022/06/09,2,ft,0.89,ft
2016/04/07,0.5,ft,0.8,ft
2018/10/10,2,ft,1.18,ft
2018/06/11,1,ft,1.46,ft
2023/03/06,0.5,ft,0.84,ft
2021/04/15,1,ft,0.81,ft
2022/09/06,1,ft,0.87,ft
2017/05/18,1,ft,2.23,ft
2020/10/08,0.5,ft,1.18,ft
2020/07/08,1,ft,1.21,ft
2019/02/11,1,ft,0.79,ft
2019/06/27,2,ft,2.85,ft
2020/03/09,0.5,ft,0.82,ft
2021/07/09,1.8,ft,0.92,ft
2016/10/18,0.5,ft,0.79,ft
2017/12/28,0.5,ft,0.8,ft
2016/01/12,0.5,ft,0.81,ft
2017/08/29,1,ft,0.87,ft
2016/12/21,0.4,ft,0.82,ft
2020/05/27,1,ft,2.02,ft
2019/06/03,0.5,ft,1.99,ft
2022/12/19,,,0.82,ft
2016/10/18,0.5,ft,0.79,ft
2018/01/30,1,ft,0.79,ft
