Activity_StartDate,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Result_Measure,Result_MeasureUnit
2016/10/18,0.5,ft,64,ft
2021/09/16,0.8,ft,61,ft
2017/06/09,1,ft,69,ft
2022/09/06,1,ft,63.5,ft
2018/03/14,0.5,ft,62,ft
2018/04/25,1.3,ft,62,ft
2021/04/15,1,ft,62,ft
2020/07/08,1,ft,61.7,ft
2020/11/05,0.5,ft,60,ft
2019/06/27,2,ft,66,ft
2017/07/20,0.5,ft,61,ft
2022/01/28,1,ft,57,ft
2018/08/28,1,ft,60,ft
2018/06/11,1,ft,61,ft
2018/11/15,1,ft,56.5,ft
2023/03/06,0.5,ft,60,ft
2017/08/29,1,ft,47,ft
2017/03/15,1,ft,55,ft
2021/07/09,1.8,ft,58,ft
2016/11/29,0.5,ft,63,ft
2021/06/03,1,ft,58,ft
2017/11/13,0.5,ft,63,ft
2023/07/18,1,ft,62,ft
2020/01/29,0.5,ft,58.5,ft
2023/12/11,2,ft,60,ft
2016/07/27,0.5,ft,62,ft
2017/05/03,1,ft,53,ft
2016/06/27,0.5,ft,64.5,ft
2023/08/31,1,ft,49,ft
2021/01/21,0.7,ft,61,ft
2019/03/12,1.5,ft,56,ft
2022/06/09,2,ft,59,ft
2019/06/03,0.5,ft,64,ft
2016/01/12,0.5,ft,65,ft
2022/07/29,1.2,ft,56,ft
2017/12/28,0.5,ft,84,ft
2019/12/13,0.5,ft,59,ft
2019/10/31,0.8,ft,56,ft
2022/10/24,0.8,ft,58,ft
2019/02/11,1,ft,59,ft
2020/12/15,0.4,ft,60,ft
2016/04/07,0.5,ft,65,ft
2023/06/01,0.5,ft,70,ft
2022/03/14,1,ft,57,ft
2016/06/24,0.5,ft,64,ft
2020/05/27,1,ft,75.7,ft
2018/10/10,2,ft,60,ft
2017/05/18,1,ft,65,ft
2020/03/09,0.5,ft,59,ft
2022/12/19,,,60,ft
2022/04/25,1.8,ft,56,ft
2021/03/04,0.5,ft,59,ft
2018/07/17,2,ft,63,ft
2023/04/20,,,63,ft
2016/02/26,0.5,ft,65,ft
2020/08/18,1,ft,61.5,ft
2017/01/30,0.5,ft,58,ft
2018/01/30,1,ft,55,ft
2020/04/24,1,ft,58.5,ft
2019/04/23,0.8,ft,57,ft
2021/12/13,1,ft,58,ft
2024/02/08,1,ft,55.9,ft
2016/05/12,0.5,ft,61,ft
2020/10/08,0.5,ft,64.5,ft
2017/10/11,0.5,ft,63.4,ft
2016/09/06,0.5,ft,61,ft
2024/05/14,,,66,ft
2024/06/03,,,74,ft
2024/07/16,,,57.1,ft
2024/10/08,,,61.5,ft
2024/12/13,,,57,ft
2016/12/21,0.4,ft,54,ft
2024/04/16,,,65,ft
2021/10/28,1,ft,58,ft
2019/09/18,0.8,ft,57,ft
2024/06/25,,,63,ft
2023/10/30,,,60,ft
2019/08/09,1.5,ft,49,ft
2025/02/12,,,56,ft
2025/04/08,,,57,ft
2025/05/23,,,66,ft
2025/07/31,1.3,ft,56,ft
2025/08/29,1.3,ft,59,ft
2025/11/21,1,ft,55,ft
