,Unnamed: 0,Date,Time,Width (m),Discharge (cms) ,Depth (m),t (days),x (m)
0,0,2/23/16,10:30:00,121.9512195,142,2.82,46.85069444444444,427359.347
1,1,4/6/16,10:32:00,58.84146341,83,2.22,89.85208333333334,427359.347
2,2,5/13/16,10:51:00,184.4512195,421,4.47,126.86527777777778,427359.347
3,3,6/16/16,9:47:00,184.7560976,669,5.38,160.82083333333333,427359.347
4,4,7/27/16,10:13:00,106.402439,70,2.15,201.8388888888889,427359.347
5,5,9/13/16,11:04:00,118.902439,57,1.93,249.87430555555557,427359.347
6,6,10/13/16,10:47:00,63.41463415,77,2.15,279.8625,427359.347
7,7,11/30/16,10:44:00,119.2073171,79,2.15,327.86041666666665,427359.347
8,8,1/26/17,11:11:00,120.7317073,96,2.34,384.87916666666666,427359.347
9,9,2/2/17,10:52:00,119.2073171,76,2.15,391.86597222222224,427359.347
10,10,3/15/17,10:33:00,121.6463415,211,3.33,432.85277777777776,427359.347
11,11,4/27/17,9:56:00,185.6707317,422,4.37,475.82708333333335,427359.347
12,12,6/14/17,9:57:00,186.5853659,638,5.22,523.8277777777778,427359.347
13,13,9/13/17,11:14:00,118.597561,70,2.04,614.88125,427359.347
14,14,10/16/17,9:11:00,120.1219512,88,2.19,647.7958333333333,427359.347
15,15,12/7/17,7:28:00,118.597561,117,2.45,699.7243055555556,427359.347
16,16,1/24/18,9:30:00,113.7195122,112,2.47,747.8090277777778,427359.347
17,17,3/14/18,8:14:00,113.1097561,95,2.27,796.75625,427359.347
18,18,4/24/18,8:31:00,109.4512195,132,2.64,837.7680555555555,427359.347
19,19,5/17/18,12:27:00,138.1097561,309,3.98,860.9319444444444,427359.347
20,20,6/28/18,8:38:00,64.93902439,82,2.17,902.7729166666668,427359.347
21,21,7/25/18,12:41:00,72.25609756,60,1.88,929.9416666666668,427359.347
22,22,9/12/18,9:45:00,54.26829268,52,1.83,978.8194444444443,427359.347
23,23,10/26/18,9:31:00,86.2804878,70,2.05,1022.8097222222224,427359.347
24,24,12/17/18,11:35:00,81.40243902,83,2.15,1074.8958333333333,427359.347
25,25,4/1/19,10:07:00,67.07317073,115,2.47,1179.834722222222,427359.347
26,26,5/14/19,10:32:00,121.3414634,329,4.06,1222.8520833333334,427359.347
27,27,6/17/19,10:03:00,125.304878,779,5.69,1256.8319444444444,427359.347
28,28,9/19/19,10:09:00,117.6829268,83,2.08,1350.8361111111112,427359.347
29,29,11/4/19,10:05:00,117.3780488,67,1.96,1396.8333333333333,427359.347
30,30,12/16/19,10:18:00,119.8170732,102,2.31,1438.8423611111111,427359.347
31,31,2/20/20,9:49:00,120.4268293,110,2.36,1504.8222222222223,427359.347
32,32,4/3/20,10:41:00,119.8170732,131,2.56,1547.8583333333331,427359.347
33,33,5/22/20,9:37:00,123.4756098,292,3.76,1596.8138888888889,427359.347
34,34,6/4/20,10:31:00,123.7804878,533,4.9,1609.8513888888888,427359.347
35,35,7/16/20,9:29:00,119.2073171,58,1.91,1651.8083333333334,427359.347
36,36,9/1/20,10:06:00,55.79268293,50,1.77,1698.8340277777777,427359.347
37,37,10/16/20,9:18:00,45.42682927,47,1.72,1743.8006944444444,427359.347
38,38,11/25/20,9:39:00,47.56097561,51,1.76,1783.8152777777775,427359.347
39,39,3/16/21,10:27:00,54.26829268,71,1.99,1894.848611111111,427359.347
40,40,4/28/21,12:36:00,60.06097561,58,1.86,1937.9381944444444,427359.347
41,41,7/13/21,10:04:00,38.41463415,34,1.59,2013.8326388888888,427359.347
42,42,8/24/21,10:13:00,57.62195122,66,1.91,2055.838888888889,427359.347
43,43,10/15/21,9:58:00,49.3902439,61,1.89,2107.8284722222224,427359.347
44,44,11/30/21,10:01:00,46.95121951,52,1.82,2153.8305555555557,427359.347
45,45,1/14/22,11:46:00,53.35365854,56,1.87,2198.9034722222223,427359.347
46,46,3/7/22,12:08:00,47.25609756,57,1.92,2250.91875,427359.347
47,47,4/25/22,9:52:00,51.2195122,74,2.09,2299.8243055555554,427359.347
48,48,5/23/22,12:32:00,121.9512195,363,4.24,2327.9354166666667,427359.347
49,49,6/3/22,10:12:00,121.9512195,484,4.68,2338.8381944444445,427359.347
50,50,7/20/22,9:39:00,117.9878049,59,1.9,2385.8152777777777,427359.347
51,51,9/1/22,9:09:00,75.6097561,53,1.86,2428.7944444444443,427359.347
52,52,10/7/22,9:34:00,52.74390244,88,2.6,2464.8118055555556,427359.347
53,53,11/28/22,11:31:00,80.18292683,70,2.26,2516.8930555555557,427359.347
54,54,1/12/23,10:53:00,78.96341463,79,2.28,2561.866666666667,427359.347
55,55,3/14/23,11:18:00,74.69512195,79,2.25,2622.8840277777776,427359.347
56,56,5/9/23,14:52:00,135.0609756,588,4.99,2679.032638888889,427359.347
57,57,5/30/23,16:17:00,132.6219512,744,5.66,2700.0916666666667,427359.347
58,58,7/20/23,9:11:00,84.45121951,86,2.29,2750.795833333333,427359.347
59,59,8/31/23,11:32:00,103.6585366,77,2.15,2792.89375,427359.347
60,60,10/19/23,8:14:00,96.64634146,91,2.32,2841.75625,427359.347
61,61,12/7/23,10:26:00,106.097561,92,2.29,2890.8479166666666,427359.347
62,62,1/31/24,10:06:00,113.7195122,118,2.57,2945.834027777778,427359.347
